Gen,BestScore,AverageScore
1,0.002858639,0.0009191292
2,0.002858639,0.001219683
3,0.002887811,0.001358691
4,0.002887811,0.001405202
5,0.002887811,0.00131918
6,0.002887811,0.001397711
7,0.003043264,0.001409752
8,0.003901195,0.001785407
9,0.003901195,0.001831603
10,0.01290735,0.00186601
11,0.0261354,0.002000123
12,0.0261354,0.001567432
13,0.0261354,0.001607264
14,0.0261354,0.001622433
15,0.0261354,0.001722877
16,0.0261354,0.001828924
17,0.0261354,0.001700004
18,0.0261354,0.001439253
19,0.0261354,0.00153813
20,0.01570218,0.001572655
21,0.06375095,0.004342194
22,0.07041971,0.0037196
23,0.07041971,0.003242515
24,0.2240277,0.005081941
25,0.2240277,0.008410761
26,0.2240277,0.005903894
27,0.2240277,0.004343351
28,0.2240277,0.006157845
29,0.2240277,0.005896248
30,0.2240277,0.00628016
